name, birth_year, genre
Billie_Hughes other, 1948, other
Billy_Bland other, 1932, other
Billy_Boy_Arnold other, 1935, other
Billy_Crain other, 1954, other
Billy_Edd_Wheeler other, 1932, other
Billy_Ficca other, 1950, other
Billy_Flynn_(musician) other, 1956, other
Billy_Griffin other, 1950, other
Billy_Hayes_(musician) other, 1985, other
Billy_Hughes_(musician) other, 1908, other
Billy_Joe_Shaver other, 1939, other
Billy_Lawrence other, 1971, other
Billy_Lee_Riley other, 1933, other
Billy_Mann other, 1968, other
Billy_Montana other, 1959, other
Billy_Sherrill other, 1936, other
Billy_Simons other, 1983, other
Billy_Vera other, 1944, other
Bing_Futch other, 1966, other
Blaize_Clement other, 1932, other
Bleu_(musician) other, 1975, other
Blowfly_(musician) other, 1939, other
Blue_Hamilton other, 1979, other
Bob_Bennett_(singer-songwriter) other, 1955, other
Bob_Burns_(drummer) other, 1950, other
Bob_Childers other, 1946, other
Bob_Gaddy other, 1924, other
Bob_Hite other, 1943, other
Bob_Kirkpatrick_(musician) other, 1934, other
Bob_Livingston_(musician) other, 1948, other
Bob_Markley other, 1935, other
Bob_Stroger other, 1930, other
Bob_Woodruff_(singer) other, 1961, other
Bobbie_Cryner other, 1961, other
Bobby_Bland other, 1930, other
Bobby_Borchers other, 1952, other
Bobby_Braddock other, 1940, other
Bobby_Charles other, 1938, other
Bobby_Day other, 1930, other
Bobby_Edwards other, 1926, other
Bobby_G._Rice other, 1944, other
Bobby_Goldsboro other, 1941, other
Bobby_Hatfield other, 1940, other
Bobby_Hendricks other, 1938, other
Bobby_Lewis_(country_singer) other, 1942, other
Bobby_Lord other, 1934, other
Bobby_Murray_(musician) other, 1953, other
Bobby_Rogers other, 1940, other
Bobby_Scott_(musician) other, 1937, other
Bobby_Susser other, 1942, other
Bobby_Vinton other, 1935, other
Bobo_Jenkins other, 1916, other
Bonnie_Owens other, 1929, other
Boogie_Bill_Webb other, 1924, other
Boogie_Woogie_Red other, 1925, other
Bosco_Mann other, 1974, other
Boz_Scaggs other, 1944, other
Brad_Alexander other, 1971, other
Brad_Ferguson science_fiction, 1953, science_fiction
Brad_Linaweaver science_fiction, 1952, science_fiction
Brad_Linaweaver fantasy, 1952, fantasy
Brad_Martin other, 1973, other
Brad_Steiger other, 1936, other
Brad_Thor other, 1969, other
Brad_Walsh other, 1982, other
Brad_Zellar other, 1961, other
Bradford_Cox other, 1982, other
Bradley_Sands other, 1978, other
Bradley_Sands science_fiction, 1978, science_fiction
Bradley_Sands fantasy, 1978, fantasy
Brady_Seals other, 1969, other
Brandi_Shearer other, 1980, other
Brandon_Bays other, 1953, other
Brandon_Beal other, 1983, other
Brandon_Mendelson other, 1983, other
Brandon_Mull other, 1974, other
Brandon_Mull fantasy, 1974, fantasy
Brandy_Clark other, 1977, other
Bree_Despain other, 1979, other
Brenda_A._Ferber other, 1967, other
Brenda_Jackson romance, 1953, romance
Brenda_Lee_Eager other, 1947, other
Brenda_Novak romance, 1964, romance
Brenn_Hill other, 1976, other
Brent_Anderson_(singer) other, 1988, other
Brent_Hinds other, 1974, other
Brent_Mason other, 1959, other
Brent_Simon other, 1978, other
Brent_Weeks fantasy, 1977, fantasy
Bret_Bollinger other, 1979, other
Brett_Dennen other, 1979, other
Brett_Detar other, 1978, other
Brett_Eldredge other, 1986, other
Brett_Epstein other, 1978, other
Brett_James other, 1968, other
Brian_Allen_Carr other, 1978, other
Brian_Blume other, 1950, other
Brian_Blume fantasy, 1950, fantasy
Brian_Freeman other, 1963, other
Brian_Gage other, 1973, other
Brian_Pohanka other, 1955, other
Brian_R._James other, 1974, other
Brian_R._James fantasy, 1974, fantasy
Brian_Richard other, 1979, other
Brian_Ritchie other, 1960, other
Brian_Rolland other, 1954, other
Brian_Setzer other, 1959, other
Brian_Smith_(American_musician) other, 1990, other
Brian_Wheat other, 1963, other
Brice_Long other, 1971, other
Bridget_Kelly other, 1986, other
Brika other, 1994, other
Britta_Phillips other, 1963, other
Brittani_Senser other, 1984, other
Brock_Yates other, 1933, other
Brooke_Hogan other, 1988, other
Brooks_Williams other, 1958, other
Brother_Dash other, 1971, other
Bruce_Carroll other, 1953, other
Bruce_Channel other, 1940, other
Bruce_Coville other, 1950, other
Bruce_Crump other, 1957, other
Bruce_G._Blowers other, 1987, other
Bruce_Greer other, 1961, other
Bruce_Heard other, 1957, other
Bruce_Larkin other, 1957, other
Bruce_Spizer other, 1955, other
Bryan_Gregory other, 1951, other
Bryan_Gruley other, 1957, other
Bryan_Loren other, 1966, other
Bryan_MacLean other, 1946, other
Bryan_Russell other, 1980, other
Bryan_Thao_Worra poetry, 1973, poetry
Bryan_Thao_Worra other, 1973, other
Bryan_Todd_(record_producer) other, 1973, other
Buddy_Cannon other, 1947, other
Buddy_Starcher other, 1906, other
Buddy_Wakefield other, 1974, other
Buddy_Whittington other, 1956, other
Burton_Hatlen poetry, 1936, poetry
Butch_Baker other, 1958, other
Byrd_Baylor other, 1924, other
B._E._Taylor other, 1954, other
B._Reith other, 1982, other
BT_(musician) other, 1970, other
Babbie_Mason other, 1955, other
Baby_Dee other, 1953, other
Babydaddy other, 1976, other
Baiyu_(singer) other, 1983, other
Charles_Martin_(author) other, 1969, other
Charles_Olson poetry, 1910, poetry
Charles_Panati other, 1943, other
